PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Age_Range
1,0,3,1,22.0,1,0,7.25,0,1
2,1,1,0,38.0,1,0,71.2833,1,2
3,1,3,0,26.0,0,0,7.925,0,1
4,1,1,0,35.0,1,0,53.1,0,2
5,0,3,1,35.0,0,0,8.05,0,2
6,0,3,1,25.0,0,0,8.4583,2,1
7,0,1,1,54.0,0,0,51.8625,0,3
8,0,3,1,2.0,3,1,21.075,0,0
9,1,3,0,27.0,0,2,11.1333,0,1
10,1,2,0,14.0,1,0,30.0708,1,0
11,1,3,0,4.0,1,1,16.7,0,0
12,1,1,0,58.0,0,0,26.55,0,3
13,0,3,1,20.0,0,0,8.05,0,1
14,0,3,1,39.0,1,5,31.275,0,2
15,0,3,0,14.0,0,0,7.8542,0,0
16,1,2,0,55.0,0,0,16.0,0,3
17,0,3,1,2.0,4,1,29.125,2,0
18,1,2,1,30.0,0,0,13.0,0,2
19,0,3,0,31.0,1,0,18.0,0,2
20,1,3,0,25.0,0,0,7.225,1,1
21,0,2,1,35.0,0,0,26.0,0,2
22,1,2,1,34.0,0,0,13.0,0,2
23,1,3,0,15.0,0,0,8.0292,2,0
24,1,1,1,28.0,0,0,35.5,0,1
25,0,3,0,8.0,3,1,21.075,0,0
26,1,3,0,38.0,1,5,31.3875,0,2
27,0,3,1,25.0,0,0,7.225,1,1
28,0,1,1,19.0,3,2,263.0,0,1
29,1,3,0,25.0,0,0,7.8792,2,1
30,0,3,1,25.0,0,0,7.8958,0,1
31,0,1,1,40.0,0,0,27.7208,1,2
32,1,1,0,38.0,1,0,146.5208,1,2
33,1,3,0,25.0,0,0,7.75,2,1
34,0,2,1,66.0,0,0,10.5,0,3
35,0,1,1,28.0,1,0,82.1708,1,1
36,0,1,1,42.0,1,0,52.0,0,2
37,1,3,1,25.0,0,0,7.2292,1,1
38,0,3,1,21.0,0,0,8.05,0,1
39,0,3,0,18.0,2,0,18.0,0,1
40,1,3,0,14.0,1,0,11.2417,1,0
41,0,3,0,40.0,1,0,9.475,0,2
42,0,2,0,27.0,1,0,21.0,0,1
43,0,3,1,25.0,0,0,7.8958,1,1
44,1,2,0,3.0,1,2,41.5792,1,0
45,1,3,0,19.0,0,0,7.8792,2,1
46,0,3,1,25.0,0,0,8.05,0,1
47,0,3,1,25.0,1,0,15.5,2,1
48,1,3,0,25.0,0,0,7.75,2,1
49,0,3,1,25.0,2,0,21.6792,1,1
50,0,3,0,18.0,1,0,17.8,0,1
51,0,3,1,7.0,4,1,39.6875,0,0
52,0,3,1,21.0,0,0,7.8,0,1
53,1,1,0,49.0,1,0,76.7292,1,2
54,1,2,0,29.0,1,0,26.0,0,1
55,0,1,1,65.0,0,1,61.9792,1,3
56,1,1,1,38.0,0,0,35.5,0,2
57,1,2,0,21.0,0,0,10.5,0,1
58,0,3,1,28.5,0,0,7.2292,1,1
59,1,2,0,5.0,1,2,27.75,0,0
60,0,3,1,11.0,5,2,46.9,0,0
61,0,3,1,22.0,0,0,7.2292,1,1
62,1,1,0,38.0,0,0,80.0,0,2
63,0,1,1,45.0,1,0,83.475,0,2
64,0,3,1,4.0,3,2,27.9,0,0
65,0,1,1,38.0,0,0,27.7208,1,2
66,1,3,1,25.0,1,1,15.2458,1,1
67,1,2,0,29.0,0,0,10.5,0,1
68,0,3,1,19.0,0,0,8.1583,0,1
69,1,3,0,17.0,4,2,7.925,0,0
70,0,3,1,26.0,2,0,8.6625,0,1
71,0,2,1,32.0,0,0,10.5,0,2
72,0,3,0,16.0,5,2,46.9,0,0
73,0,2,1,21.0,0,0,73.5,0,1
74,0,3,1,26.0,1,0,14.4542,1,1
75,1,3,1,32.0,0,0,56.4958,0,2
76,0,3,1,25.0,0,0,7.65,0,1
77,0,3,1,25.0,0,0,7.8958,0,1
78,0,3,1,25.0,0,0,8.05,0,1
79,1,2,1,0.83,0,2,29.0,0,0
80,1,3,0,30.0,0,0,12.475,0,2
81,0,3,1,22.0,0,0,9.0,0,1
82,1,3,1,29.0,0,0,9.5,0,1
83,1,3,0,25.0,0,0,7.7875,2,1
84,0,1,1,28.0,0,0,47.1,0,1
85,1,2,0,17.0,0,0,10.5,0,0
86,1,3,0,33.0,3,0,15.85,0,2
87,0,3,1,16.0,1,3,34.375,0,0
88,0,3,1,25.0,0,0,8.05,0,1
89,1,1,0,23.0,3,2,263.0,0,1
90,0,3,1,24.0,0,0,8.05,0,1
91,0,3,1,29.0,0,0,8.05,0,1
92,0,3,1,20.0,0,0,7.8542,0,1
93,0,1,1,46.0,1,0,61.175,0,2
94,0,3,1,26.0,1,2,20.575,0,1
